FOKONTANY_;COMMUNE_NA
Ampasina;Andina
Antanifotsy;Andina
Amboloando;Andiolava
Vatambe Nanarena;Andiolava
Vohimary;Andiolava
Andiolava;Andiolava
Ankazoabokely;Andiolava
Ambatofotsy;Andiolava
Ambondrobe;Andiolava
Ambodimanga Seranana;Andohajango
Ampombilava;Andohajango
Antsiradrano;Andohajango
Befotaka;Andohajango
Bekilandy;Andohajango
Sahantona;Andohajango
Maroadabohely;Andohajango
Andohajango;Andohajango
Antendrombohilava;Andilana Nord
Ampasika;Andilana Nord
Morarano Mandroso;Andilana Nord
Vohimarina;Andilana Nord
Analavondro;Andilana Nord
Andratsiolona;Andilana Nord
Andilana Nord;Andilana Nord
Antsapanimahazo;Andilanatoby
Ambodifiakarana;Andilanatoby
Ambohimiarina;Andilanatoby
Ambohimasina;Andilanatoby
Ambodinonoka;Andilanatoby
Ankasina;Andilanatoby
Sahanidingana;Andilanatoby
Fierenana;Andilanatoby
Mangatany;Andilanatoby
Andranomadio;Andilanatoby
Andranokobaka;Andilanatoby
Ranofotsy;Andilanatoby
Andasibe;Andilanatoby
Andilanatoby;Andilanatoby
Behamotsy;Andimaky Manambolo
Ankaivo;Andimaky Manambolo
Belobaka;Andimaky Manambolo
Ambaravaratany;Andimaky Manambolo
Andimaky Ampasy;Andimaky Manambolo
Bemamba;Andimaky Manambolo
Ambalabe;Andimaky Manambolo
Tsibiray;Andimaky Manambolo
Antsakoazato;Andimaky Manambolo
Bevaho;Andimaky Manambolo
Ampanarena;Andimaky Manambolo
Ankilizato Nord;Andimaky Manambolo
Ampamahotra;Andina
Androrangavola;Andonabe
Andonabe;Andonabe
Morafeno;Andonabe
Mahasoa;Andonabe
Mahatsara II;Andonabe
Amboza;Maropaika
Ampatsinakoho;Maropaika
Antanandava Sud;Maropaika
Ambatopaika;Maropaika
Mavogisa;Maropaika
Beadabo;Maropaika
Ampafatra;Andranofotsy
Matsotarihina;Andranofotsy
Andranofotsy;Andranofotsy
Analamitivala;Andranohinaly
Sareriake;Andranohinaly
Antanetibe Toavala;Andranomanelatra
Ambohimandroso;Andranomanelatra
Amberobe;Andranomanelatra
Tsaramandroso Gara;Andranomanelatra
Tsaramandroso Soamahavoky;Andranomanelatra
Vohimasina II;Androrangavola
Analila;Androrangavola
Sandranamba;Androrangavola
Bemandotra;Androvakely
Beanana;Androvakely
Mananjaran'ifosa;Anjangoveratra
Maevatananan'ifosa;Anjangoveratra
Tanambao Ifosa;Anjangoveratra
Ambodisambalahy;Anjangoveratra
Ampamintanana;Anjangoveratra
Ambavala;Anjangoveratra
Anjombalava;Anjangoveratra
Ambodivohitra;Anjangoveratra
Seranampotaka;Anjangoveratra
Ankiakabe;Anjangoveratra
Antanambazaha;Anjangoveratra
Alatsinainy;Andoharanomaitso
Ambalatondroina;Andoharanomaitso
Antandrokomby I;Andohariana
Ambatofotsy;Andohariana
Amby;Andohariana
Andraravola;Ankadinandriana
Morarano;Ankadinandriana
Fihasinana;Ankadinandriana
Ambohitromby;Ankadinandriana
Andranovelona;Ankadinandriana
Antanetibe Maromby;Ankadinandriana
Mizahamiorika;Ankazotsifantatra
Andihona II;Ankazotsifantatra
Ambodilalona I;Ankazotsifantatra
Ambatofotsy;Ankazotsifantatra
Antafiamirango;Andranoboka
Andranoboka;Andranoboka
Labandy;Andranoboka
Ambodiala;Andranoboka
Mangabe;Andranoboka
Anjobajoba;Andranoboka
Tsaramandroso;Andranoboka
Andapa Tamboro;Andranobolaha
Andranovaky;Andranobolaha
Ambodibonara;Andranobolaha
Vohilavakely;Andranomavo
Ambodiaviavy;Andranomavo
Maromitety;Andranomavo
Ambatomilahatrano;Andranomeva
Bemakamba;Andranomeva
Anosikobondro;Marovoay Banlieue
Andakalaka;Marovoay Banlieue
Ambatobe;Marovoay Banlieue
Ambovokatrakatraka;Marovoay Banlieue
Miadana;Marovoay Banlieue
Talaky;Andina
Ambalamarina;Andina
Anjama Ivo;Andina
Ankadilanana;Andina
Antananomby;Andina
Loharano;Andina
Atsimondrano;Andina
Ampiterena;Andina
Andina Centre;Andina
Ampotsinatsy;Andina
Marinera;Andina
Ambinome;Andina
Antanantanana;Andohajango
Bemanondro;Andohajango
Andrangeza;Andohajango
Mahabo;Andoharanofotsy
Ambohimanala;Andoharanofotsy
Volotara Firaisana;Andoharanofotsy
Morarano Firaisana;Andoharanofotsy
Iavoloha;Andoharanofotsy
Andoharanofotsy;Andoharanofotsy
Mahalavolona;Andoharanofotsy
Belambanana;Andoharanofotsy
Irano Anosilava;Andoharanomaitso
Mahalay;Andoharanomaitso
Itohy;Andoharanomaitso
Vohimanombo;Andoharanomaitso
Ambalaseva;Andoharanomaitso
Andranomiboaka;Andoharanomaitso
